date,price
11/16/2023,73.09
11/15/2023,76.79
11/14/2023,78.17
11/13/2023,78.19
11/10/2023,77.15
11/09/2023,75.75
11/08/2023,75.31
11/07/2023,77.21
11/06/2023,80.60
11/03/2023,80.23
11/02/2023,82.16
11/01/2023,80.10
10/31/2023,80.50
10/30/2023,81.68
10/27/2023,84.70
10/26/2023,82.54
10/25/2023,84.69
10/24/2023,82.97
10/23/2023,84.42
10/20/2023,88.08
10/19/2023,88.37
10/18/2023,87.27
10/17/2023,85.44
10/16/2023,85.26
10/13/2023,86.35
10/12/2023,81.80
10/11/2023,82.07
10/10/2023,84.13
10/09/2023,84.60
10/06/2023,81.28
10/05/2023,80.81
10/04/2023,82.55
10/03/2023,87.44
10/02/2023,87.17
09/29/2023,88.80
09/28/2023,89.59
09/27/2023,91.30
09/26/2023,88.78
09/25/2023,88.17
09/22/2023,88.35
09/21/2023,88.32
09/20/2023,89.66
09/19/2023,90.48
09/18/2023,90.58
09/15/2023,90.02
09/14/2023,89.61
09/13/2023,87.88
09/12/2023,88.16
09/11/2023,86.66
09/08/2023,86.81
09/07/2023,86.15
09/06/2023,86.79
09/05/2023,86.01
09/04/2023,85.82
09/03/2023,85.85
09/01/2023,84.75
08/31/2023,82.96
08/30/2023,81.12
08/29/2023,80.68
08/28/2023,79.67
08/25/2023,79.49
08/24/2023,78.66
08/23/2023,78.59
08/22/2023,79.64
08/21/2023,80.12
08/18/2023,80.66
08/17/2023,79.90
08/16/2023,79.02
08/15/2023,80.50
08/14/2023,81.92
08/11/2023,82.57
08/10/2023,82.29
08/09/2023,83.69
08/08/2023,82.36
08/07/2023,81.49
08/04/2023,82.27
08/03/2023,81.08
08/02/2023,79.13
08/01/2023,80.92
07/31/2023,81.32
07/28/2023,80.18
07/27/2023,79.63
07/26/2023,78.40
07/25/2023,79.20
07/24/2023,78.40
07/21/2023,76.78
07/20/2023,75.65
07/19/2023,75.29
07/18/2023,75.66
07/17/2023,74.08
07/14/2023,75.32
07/13/2023,76.76
07/12/2023,75.54
07/11/2023,74.71
07/10/2023,72.95
07/07/2023,73.77
07/06/2023,71.79
07/05/2023,71.88
07/04/2023,71.06
07/03/2023,69.91
06/30/2023,70.78
06/29/2023,70.02
06/28/2023,69.73
06/27/2023,67.90
06/26/2023,69.54
06/23/2023,69.32
06/22/2023,69.63
06/21/2023,72.52
06/20/2023,71.19
06/19/2023,71.31
06/18/2023,71.47
06/16/2023,71.93
06/15/2023,70.81
06/14/2023,68.46
06/13/2023,69.58
06/12/2023,67.29
06/09/2023,70.33
06/08/2023,71.44
06/07/2023,72.64
06/06/2023,71.85
06/05/2023,72.26
06/02/2023,71.84
06/01/2023,70.20
05/31/2023,68.24
05/30/2023,69.60
05/29/2023,72.87
05/28/2023,73.22
05/26/2023,72.76
05/25/2023,71.93
05/24/2023,74.29
05/23/2023,72.85
05/22/2023,72.05
05/19/2023,71.69
05/18/2023,71.94
05/17/2023,72.89
05/16/2023,70.84
05/15/2023,71.09
05/12/2023,70.02
05/11/2023,70.88
05/10/2023,72.52
05/09/2023,73.62
05/08/2023,73.07
05/05/2023,71.27
05/04/2023,68.51
05/03/2023,68.55
05/02/2023,71.55
05/01/2023,75.51
04/28/2023,76.61
04/27/2023,74.58
04/26/2023,74.19
04/25/2023,76.87
04/24/2023,78.60
04/21/2023,77.71
04/20/2023,77.37
04/19/2023,79.24
04/18/2023,80.90
04/17/2023,80.83
04/14/2023,82.43
04/13/2023,82.04
04/12/2023,83.09
04/11/2023,81.49
04/10/2023,79.77
04/06/2023,80.68
04/05/2023,80.63
04/04/2023,80.72
04/03/2023,80.44
03/31/2023,75.80
03/30/2023,74.49
03/29/2023,73.12
03/28/2023,73.34
03/27/2023,72.93
03/24/2023,69.41
03/23/2023,70.12
03/22/2023,71.02
03/21/2023,69.67
03/20/2023,67.82
03/17/2023,66.93
03/16/2023,68.52
03/15/2023,67.74
03/14/2023,71.49
03/13/2023,74.91
03/10/2023,76.78
03/09/2023,75.84
03/08/2023,76.81
03/07/2023,77.72
03/06/2023,80.56
03/03/2023,79.79
03/02/2023,78.31
03/01/2023,77.83
02/28/2023,77.19
02/27/2023,75.81
02/24/2023,76.47
02/23/2023,75.60
02/22/2023,74.19
02/21/2023,76.36
02/20/2023,77.30
02/19/2023,76.67
02/17/2023,76.55
02/16/2023,78.74
02/15/2023,78.83
02/14/2023,79.24
02/13/2023,80.33
02/10/2023,79.92
02/09/2023,78.27
02/08/2023,78.69
02/07/2023,77.39
02/06/2023,74.47
02/03/2023,73.74
02/02/2023,76.20
02/01/2023,76.73
01/31/2023,79.17
01/30/2023,78.18
01/27/2023,79.96
01/26/2023,81.28
01/25/2023,80.44
01/24/2023,80.44
01/23/2023,81.93
01/20/2023,81.64
01/19/2023,80.61
01/18/2023,79.80
01/17/2023,80.45
01/16/2023,79.04
01/15/2023,79.78
01/13/2023,80.11
01/12/2023,78.65
01/11/2023,77.68
01/10/2023,75.37
01/09/2023,74.92
01/06/2023,74.04
01/05/2023,73.92
01/04/2023,73.10
01/03/2023,77.12
01/02/2023,80.47
12/30/2022,80.45
12/29/2022,78.50
12/28/2022,79.08
12/27/2022,79.64
12/26/2022,80.97
12/23/2022,79.64
12/22/2022,77.42
12/21/2022,78.24
12/20/2022,76.23
12/19/2022,75.38
12/16/2022,74.46
12/15/2022,76.15
12/14/2022,77.31
12/13/2022,75.44
12/12/2022,73.28
12/09/2022,71.21
12/08/2022,71.58
12/07/2022,72.28
12/06/2022,74.46
12/05/2022,77.08
12/02/2022,80.05
12/01/2022,81.14
11/30/2022,80.66
11/29/2022,78.28
11/28/2022,77.33
11/25/2022,76.43
11/24/2022,77.95
11/23/2022,78.07
11/22/2022,80.73
11/21/2022,80.04
11/18/2022,80.11
11/17/2022,81.40
11/16/2022,85.00
11/15/2022,86.25
11/14/2022,85.16
11/11/2022,88.16
11/10/2022,85.66
11/09/2022,85.00
11/08/2022,88.00
11/07/2022,90.73
11/04/2022,91.45
11/03/2022,87.18
11/02/2022,88.86
11/01/2022,87.19
10/31/2022,85.40
10/28/2022,86.61
10/27/2022,87.83
10/26/2022,86.68
10/25/2022,84.31
10/24/2022,83.59
10/21/2022,83.95
10/20/2022,84.51
10/19/2022,84.52
10/18/2022,82.07
